,UNITID,Year,INSTNM,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,ACTCMMID,SAT_AVG,UGDS,NUM4_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,INEXPFTE,AVGFACSAL,C150_4,RET_FT4,PCTFLOAN,CDR2,COMP_ORIG_YR2_RT,COMP_4YR_TRANS_YR2_RT,WDRAW_ORIG_YR2_RT,COMPL_RPY_3YR_RT,OVERALL_YR4_N,DEBT_MDN,MN_EARN_WNE_P10,ICLEVEL,UGDS_MEN,UGDS_WOMEN,GRADS,BOOKSUPPLY,ROOMBOARD_ON,GT_THRESHOLD_P8,cluster
165,112260.0,2011,Claremont McKenna College,3.0,4.0,2.0,0.171,31.0,1388.0,1253.0,68.0,40230.0,40230.0,21107.0,11014.0,0.9319,0.9504,0.1215,0.0,,,,,109.0,7500.0,,1.0,0.5371,0.4629,17.0,900.0,13000.0,,5
179,113698.0,2011,Dominican University of California,3.0,4.0,2.0,0.5579,23.0,1030.0,1561.0,258.0,35550.0,35550.0,12645.0,7730.0,0.5507,0.8408,0.7302,0.034,0.055408971,,0.08707124,0.8875,324.0,18125.0,,1.0,0.2652,0.7348,681.0,1620.0,13020.0,,5
188,114813.0,2011,Fresno Pacific University,3.0,4.0,2.0,0.7564,21.0,976.0,2338.0,138.0,23898.0,23898.0,7096.0,5543.0,0.6313,0.7977,0.6858,0.044,0.147214854,,0.192307692,0.6993865031,600.0,12500.0,,1.0,0.3246,0.6754,997.0,1620.0,6180.0,,5
207,117140.0,2011,University of La Verne,3.0,4.0,2.0,0.6811,20.0,985.0,4052.0,264.0,29800.0,29800.0,7402.0,8636.0,0.7024,0.8354,0.569,0.033,0.135321101,,0.269877676,0.7687595712,1198.0,12500.0,,1.0,0.3793,0.6207,3757.0,1620.0,11110.0,,5
211,117627.0,2011,La Sierra University,3.0,4.0,2.0,0.5346,20.0,941.0,1471.0,221.0,25881.0,25881.0,10103.0,6639.0,0.3514,0.7285,0.6506,0.057,0.07960199,,0.13681592,,428.0,9687.0,,1.0,0.4317,0.5683,341.0,1671.0,7350.0,,5
218,117751.0,2011,The Master's University and Seminary,3.0,4.0,2.0,0.8256,25.0,1106.0,1047.0,96.0,25640.0,25640.0,7265.0,7278.0,0.5957,0.815,0.498,0.006,0.138059702,,0.152985075,,217.0,12000.0,,1.0,0.5244,0.4756,395.0,1620.0,8320.0,,5
223,117946.0,2011,Loyola Marymount University,3.0,4.0,2.0,0.5394,27.0,1212.0,5796.0,743.0,36622.0,36622.0,12948.0,10108.0,0.7971,0.885,0.4584,0.025,0.170947741,,0.041629761,0.935483871,1031.0,15500.0,,1.0,0.4213,0.5787,3273.0,1620.0,12397.0,,5
237,119173.0,2011,Mount Saint Mary's University,3.0,4.0,2.0,0.7276,21.0,983.0,2276.0,363.0,30132.0,30132.0,7879.0,7399.0,0.5137,0.8429,0.8919,0.034,0.30781759,,0.081433225,0.8680851064,551.0,15166.0,,1.0,0.0751,0.9249,583.0,1632.0,9830.0,,5
242,120254.0,2011,Occidental College,3.0,4.0,2.0,0.4192,29.0,1293.0,2073.0,257.0,40939.0,40939.0,18600.0,8771.0,0.8468,0.941,0.3976,0.019,0.071684588,,,0.8986784141,264.0,12750.0,,1.0,0.4361,0.5639,13.0,1116.0,11360.0,,5
245,120403.0,2011,Otis College of Art and Design,3.0,4.0,2.0,0.5,21.0,1049.0,1156.0,115.0,32900.0,32900.0,12540.0,6660.0,0.5691,0.8728,0.6644,0.077,0.039285714,,0.132142857,0.8702290076,243.0,21000.0,,1.0,0.3166,0.6834,68.0,1400.0,8120.0,,5
247,120865.0,2011,Pacific Union College,3.0,4.0,2.0,0.3989,22.0,1025.0,1450.0,276.0,25221.0,25221.0,14064.0,4721.0,0.4051,0.7015,0.7549,0.052,0.094986807,,0.17414248,0.8787878788,336.0,12000.0,,1.0,0.4462,0.5538,,1620.0,7059.0,,5
248,120883.0,2011,University of the Pacific,3.0,4.0,2.0,0.3808,25.0,1159.0,3740.0,659.0,34100.0,34100.0,17200.0,9185.0,0.61,0.8766,0.5964,0.016,0.139561707,,0.103806228,0.8868778281,991.0,14250.0,,1.0,0.4457,0.5543,2960.0,1620.0,11142.0,,5
252,121071.0,2011,Patten University,3.0,4.0,2.0,,,,1087.0,38.0,13440.0,13440.0,2210.0,3346.0,0.46,0.587,0.3447,0.131,0.094202899,,0.246376812,0.6,157.0,9500.0,,1.0,0.563,0.437,51.0,1638.0,7390.0,,5
253,121150.0,2011,Pepperdine University,3.0,4.0,2.0,0.3065,,1230.0,3431.0,479.0,39080.0,39080.0,10254.0,10032.0,0.7981,0.8928,0.4414,0.016,0.111111111,,0.058558559,0.8726415094,630.0,18500.0,,1.0,0.459,0.541,4157.0,1200.0,11390.0,,5
255,121309.0,2011,Point Loma Nazarene University,3.0,4.0,2.0,0.5494,26.0,1146.0,2402.0,369.0,27100.0,27100.0,7666.0,8397.0,0.8355,0.8443,0.6066,0.02,0.171096346,,0.089700997,0.9264305177,612.0,15000.0,,1.0,0.3918,0.6082,1143.0,1620.0,8600.0,,5
259,121691.0,2011,University of Redlands,3.0,4.0,2.0,0.6655,24.0,1110.0,3020.0,361.0,35540.0,35540.0,9796.0,8102.0,0.6424,0.8643,0.4702,0.018,0.117791411,,0.175460123,0.869955157,687.0,14500.0,,1.0,0.4427,0.5573,1399.0,1650.0,10832.0,,5
