,UNITID,Year,INSTNM,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,ACTCMMID,SAT_AVG,UGDS,NUM4_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,INEXPFTE,AVGFACSAL,C150_4,RET_FT4,PCTFLOAN,CDR2,COMP_ORIG_YR2_RT,COMP_4YR_TRANS_YR2_RT,WDRAW_ORIG_YR2_RT,COMPL_RPY_3YR_RT,OVERALL_YR4_N,DEBT_MDN,MN_EARN_WNE_P10,ICLEVEL,UGDS_MEN,UGDS_WOMEN,GRADS,BOOKSUPPLY,ROOMBOARD_ON,GT_THRESHOLD_P8,cluster
1625,201195.0,2011,Baldwin Wallace University,3.0,4.0,2.0,0.6482,24.0,1088.0,3560.0,682.0,25260.0,25260.0,8824.0,6862.0,0.7075,0.821,0.8381,0.021,0.112474438,,0.09406953,0.8883792049,825.0,18750.0,,1.0,0.4323,0.5677,682.0,1272.0,7028.0,,5
1629,201548.0,2011,Capital University,3.0,4.0,2.0,0.7495,25.0,1119.0,2611.0,575.0,29310.0,29310.0,9596.0,7784.0,0.588,0.7562,0.7129,0.034,0.116918845,,0.159559835,0.8321167883,717.0,16388.0,,1.0,0.4071,0.5929,875.0,1000.0,7864.0,,5
1630,201645.0,2011,Case Western Reserve University,3.0,4.0,2.0,0.6669,30.0,1345.0,4125.0,724.0,37648.0,37648.0,30596.0,9985.0,0.821,0.9234,0.6715,0.005,0.397785349,,0.03407155,0.9309210526,1075.0,12000.0,,1.0,0.5787,0.4213,5610.0,1150.0,11400.0,,5
1631,201654.0,2011,Cedarville University,3.0,4.0,2.0,0.7492,26.0,1183.0,3040.0,457.0,23500.0,23500.0,10342.0,6229.0,0.6693,0.8575,0.5639,0.005,0.066772655,,0.063593005,0.975308642,567.0,16750.0,,1.0,0.4625,0.5375,60.0,900.0,5086.0,,5
1644,202480.0,2011,University of Dayton,3.0,4.0,2.0,0.7721,26.0,1148.0,7449.0,719.0,29930.0,29930.0,10416.0,7938.0,0.7629,0.8836,0.3936,0.015,0.049743965,,0.043891734,0.9483050847,1114.0,17750.0,,1.0,0.5079,0.4921,3465.0,1000.0,8660.0,,5
1648,202763.0,2011,The University of Findlay,3.0,4.0,2.0,0.6735,23.0,1073.0,3009.0,532.0,26798.0,26798.0,6767.0,6517.0,0.5793,0.7368,0.6656,0.029,0.111570248,,0.099173554,0.9006849315,750.0,12500.0,,1.0,0.3666,0.6334,1092.0,1000.0,8810.0,,5
1650,203085.0,2011,Heidelberg University,3.0,4.0,2.0,0.619,22.0,1023.0,1200.0,336.0,22780.0,22780.0,7278.0,5659.0,0.5169,0.5638,0.8717,0.05,0.037735849,,0.139150943,0.8815789474,312.0,13750.0,,1.0,0.5167,0.4833,245.0,1500.0,8636.0,,5
1651,203128.0,2011,Hiram College,3.0,4.0,2.0,0.8763,24.0,1081.0,1345.0,236.0,27135.0,27135.0,8289.0,5525.0,0.6818,0.7611,0.7169,0.046,0.078431373,,0.095238095,0.8547008547,328.0,20125.0,,1.0,0.4446,0.5554,30.0,700.0,9460.0,,5
1654,203368.0,2011,John Carroll University,3.0,4.0,2.0,0.8125,24.0,1101.0,2929.0,510.0,30250.0,30250.0,9231.0,7153.0,0.7275,0.8563,0.6722,0.014,0.057104914,,0.065073041,0.905,612.0,18125.0,,1.0,0.4872,0.5128,724.0,1200.0,8750.0,,5
1667,203757.0,2011,Lourdes University,3.0,4.0,2.0,0.7713,,,1965.0,99.0,12696.0,12696.0,7878.0,5916.0,0.4444,0.6117,0.7428,0.057,0.073954984,,0.265273312,0.7078651685,522.0,9578.0,,1.0,0.1929,0.8071,276.0,1008.0,7200.0,,5
1668,203775.0,2011,Malone University,3.0,4.0,2.0,0.7643,23.0,1072.0,1995.0,393.0,22444.0,22444.0,6534.0,6031.0,0.58,0.7086,0.7175,0.029,0.116045845,,0.193409742,0.8668280872,577.0,12500.0,,1.0,0.4165,0.5835,428.0,930.0,7548.0,,5
1669,203845.0,2011,Marietta College,3.0,4.0,2.0,0.6967,24.0,1095.0,1438.0,327.0,28340.0,28340.0,10843.0,6142.0,0.59,0.774,0.7109,0.057,0.058823529,,0.050802139,0.8806818182,361.0,17750.0,,1.0,0.5146,0.4854,141.0,1088.0,8440.0,,5
1676,204194.0,2011,Mount Vernon Nazarene University,3.0,4.0,2.0,0.7487,23.0,1054.0,1835.0,264.0,21330.0,21330.0,7167.0,5565.0,0.6007,0.7417,0.7281,0.034,0.139072848,,0.175496689,,592.0,14303.0,,1.0,0.3657,0.6343,686.0,1200.0,6180.0,,5
1677,204200.0,2011,Mount Saint Joseph University,3.0,4.0,2.0,0.6503,21.0,983.0,1962.0,230.0,23550.0,23550.0,6312.0,5771.0,0.559,0.7143,0.7052,0.034,,,0.216517857,0.9133333333,451.0,13375.0,,1.0,0.368,0.632,420.0,800.0,7400.0,,5
1679,204264.0,2011,Muskingum University,3.0,4.0,2.0,0.776,22.0,1028.0,1679.0,434.0,20616.0,20616.0,7759.0,6369.0,0.5235,0.666,0.7594,0.033,0.025341131,,0.126705653,0.9008264463,446.0,10750.0,,1.0,0.4896,0.5104,541.0,1100.0,8170.0,,5
1683,204468.0,2011,Notre Dame College,3.0,4.0,2.0,0.8112,20.0,932.0,1717.0,311.0,23630.0,23630.0,5330.0,5117.0,0.4337,0.6834,0.7692,0.056,0.105363985,,0.295019157,,444.0,12333.5,,1.0,0.4502,0.5498,288.0,2058.0,7820.0,,5
1685,204501.0,2011,Oberlin College,3.0,4.0,2.0,0.3056,30.0,1356.0,2948.0,338.0,41577.0,41577.0,25835.0,8942.0,0.8721,0.9359,0.4024,0.009,0.046272494,,0.028277635,,378.0,18285.5,,1.0,0.4488,0.5512,26.0,1808.0,11010.0,,5
1687,204617.0,2011,Ohio Dominican University,3.0,4.0,2.0,0.5898,21.0,970.0,1781.0,259.0,25280.0,25280.0,4510.0,5802.0,0.453,0.6241,0.7829,0.046,0.072568941,,0.1712627,0.7563559322,786.0,15000.0,,1.0,0.393,0.607,748.0,1000.0,8322.0,,5
1688,204635.0,2011,Ohio Northern University,3.0,4.0,2.0,0.8097,27.0,1201.0,2312.0,518.0,33099.0,33099.0,13847.0,7653.0,0.7331,0.8424,0.7009,0.006,0.029585799,,0.065088757,0.9403254973,626.0,19125.0,,1.0,0.5264,0.4736,960.0,1800.0,9072.0,,5
1700,204936.0,2011,Otterbein University,3.0,4.0,2.0,0.8159,23.0,1073.0,2617.0,502.0,28413.0,28413.0,9715.0,6555.0,0.5911,0.7748,0.6923,0.036,0.078431373,,0.134453782,0.8812260536,661.0,16625.0,,1.0,0.3733,0.6267,416.0,1101.0,7887.0,,5
1713,205957.0,2011,Franciscan University of Steubenville,3.0,4.0,2.0,0.7489,26.0,1170.0,2036.0,366.0,20320.0,20320.0,6022.0,6336.0,0.7086,0.879,0.777,0.011,0.186582809,,0.064989518,0.8838862559,523.0,15716.0,,1.0,0.3762,0.6238,645.0,1200.0,6900.0,,5
1716,206048.0,2011,Tiffin University,3.0,4.0,2.0,0.5959,21.0,969.0,3651.0,259.0,18390.0,18390.0,2734.0,5840.0,0.395,0.6218,0.7613,0.047,0.069427527,,0.249695493,0.7664670659,535.0,5871.0,,1.0,0.421,0.579,1125.0,1500.0,8340.0,,5
1718,206330.0,2011,Urbana University,3.0,4.0,2.0,,,,1127.0,148.0,20838.0,20838.0,4706.0,4765.0,0.2881,0.5853,0.5468,0.059,0.131097561,,0.201219512,0.7877358491,336.0,11240.0,,1.0,0.5093,0.4907,167.0,1000.0,7780.0,,5
1719,206349.0,2011,Ursuline College,3.0,4.0,2.0,0.8953,21.0,967.0,1017.0,89.0,23940.0,23940.0,10022.0,5792.0,0.4309,0.6211,0.7846,0.029,0.123076923,,0.175384615,0.8307692308,330.0,18250.0,,1.0,0.0875,0.9125,462.0,1125.0,7970.0,,5
1720,206437.0,2011,Walsh University,3.0,4.0,2.0,0.8017,22.0,1016.0,2221.0,413.0,22410.0,22410.0,6135.0,5687.0,0.5559,0.7607,0.7661,0.041,0.093650794,,0.103174603,0.8284789644,568.0,15000.0,,1.0,0.3782,0.6218,522.0,1062.0,9506.0,,5
1722,206507.0,2011,Wilmington College,3.0,4.0,2.0,0.8839,22.0,1002.0,1353.0,310.0,25714.0,25714.0,4924.0,5494.0,0.4476,0.6985,0.6993,0.061,0.124210526,,0.122105263,0.8567335244,453.0,15467.0,,1.0,0.4242,0.5758,62.0,1275.0,8520.0,,5
1723,206525.0,2011,Wittenberg University,3.0,4.0,2.0,0.7204,25.0,1136.0,1816.0,389.0,35424.0,35424.0,11376.0,6787.0,0.6551,0.7766,0.6809,0.019,0.049751244,,0.111940299,0.9010989011,440.0,19312.0,,1.0,0.4593,0.5407,15.0,1000.0,9032.0,,5
1726,206622.0,2011,Xavier University,3.0,4.0,2.0,0.6921,25.0,1132.0,4186.0,814.0,29970.0,29970.0,8083.0,7423.0,0.7904,0.8506,0.5776,0.024,0.10911271,,0.111510791,0.8934579439,675.0,14334.5,,1.0,0.4632,0.5368,2651.0,1000.0,9500.0,,5
1729,206835.0,2011,Oklahoma Wesleyan University,3.0,4.0,2.0,0.6617,22.0,993.0,1032.0,98.0,19200.0,19200.0,5950.0,5100.0,0.4182,0.6186,0.8571,0.068,0.292537313,,0.188059702,0.8100775194,382.0,16499.5,,1.0,0.4128,0.5872,115.0,900.0,6546.0,,5
1730,206862.0,2011,Southern Nazarene University,3.0,4.0,2.0,,,,1608.0,199.0,18354.0,18354.0,6893.0,5506.0,0.4578,0.638,0.8106,0.045,0.16873065,,0.212074303,0.8269230769,590.0,13312.0,,1.0,0.4894,0.5106,443.0,1000.0,7276.0,,5
1745,207324.0,2011,Oklahoma Christian University,3.0,4.0,2.0,0.5533,24.0,1085.0,1781.0,324.0,17456.0,17456.0,7989.0,5854.0,0.4385,0.7212,0.6047,0.056,0.077212806,0.020715631,0.124293785,0.8870967742,602.0,13250.0,,1.0,0.507,0.493,315.0,900.0,5850.0,,5
1750,207403.0,2011,Oklahoma Baptist University,3.0,4.0,2.0,0.6664,24.0,1101.0,1498.0,289.0,18608.0,18608.0,6964.0,5020.0,0.5339,0.7374,0.7665,0.059,0.099756691,,0.126520681,0.8897058824,342.0,11000.0,,1.0,0.3892,0.6108,60.0,1200.0,5630.0,,5
1752,207458.0,2011,Oklahoma City University,3.0,4.0,2.0,0.7598,25.0,1148.0,2286.0,261.0,25760.0,25760.0,10070.0,6428.0,0.5172,0.777,0.4186,0.039,0.187866928,,0.13111546,0.8642533937,421.0,12500.0,,1.0,0.3784,0.6216,1464.0,1500.0,10090.0,,5
1755,207582.0,2011,Oral Roberts University,3.0,4.0,2.0,0.6675,23.0,1058.0,2645.0,328.0,20054.0,20054.0,6801.0,5468.0,0.5835,0.8185,0.7249,0.049,0.093397746,,0.132045089,0.8505154639,698.0,17000.0,,1.0,0.414,0.586,567.0,1680.0,8202.0,,5
1764,207971.0,2011,University of Tulsa,3.0,4.0,2.0,0.3911,29.0,1292.0,3058.0,290.0,28735.0,28735.0,13589.0,8543.0,0.647,0.8474,0.3418,0.045,0.089770355,,0.131524008,0.8951310861,448.0,13000.0,,1.0,0.5468,0.4532,1080.0,1200.0,9018.0,,5
1771,208488.0,2011,Concordia University-Portland,3.0,4.0,2.0,0.5808,22.0,1023.0,1224.0,143.0,24114.0,24114.0,5331.0,6226.0,0.4355,0.6452,0.7314,0.032,0.203125,,0.213541667,0.8324022346,366.0,12000.0,,1.0,0.3529,0.6471,870.0,800.0,7100.0,,5
1773,208822.0,2011,George Fox University,3.0,4.0,2.0,0.6945,24.0,1116.0,2107.0,320.0,27970.0,27970.0,9312.0,6149.0,0.67,0.8501,0.6885,0.016,0.162162162,,0.071428571,0.8818181818,528.0,15207.0,,1.0,0.411,0.589,1418.0,950.0,8630.0,,5
1775,209056.0,2011,Lewis & Clark College,3.0,4.0,2.0,,,,1917.0,247.0,36632.0,36632.0,13428.0,8480.0,0.7598,0.8273,0.4967,0.013,0.083067093,,0.054313099,0.9405940594,399.0,14625.0,,1.0,0.3949,0.6051,1585.0,1050.0,9566.0,,5
1782,209612.0,2011,Pacific University,3.0,4.0,2.0,0.4561,24.0,1093.0,1605.0,264.0,31702.0,31702.0,10209.0,6809.0,0.6463,0.8138,0.6963,0.02,0.138107417,,0.092071611,0.8837209302,403.0,15750.0,,1.0,0.3975,0.6025,1723.0,1000.0,8524.0,,5
1785,209825.0,2011,University of Portland,3.0,4.0,2.0,0.6498,,1190.0,3257.0,473.0,33538.0,33538.0,9529.0,7004.0,0.7664,0.8922,0.5333,0.011,0.15497076,,0.036549708,0.9381270903,604.0,18038.0,,1.0,0.3936,0.6064,614.0,1200.0,9760.0,,5
1786,209922.0,2011,Reed College,3.0,4.0,2.0,0.4263,32.0,1390.0,1422.0,158.0,41200.0,41200.0,19943.0,9297.0,0.7868,0.8992,0.3912,0.031,0.057894737,,0.1,0.912568306,195.0,12184.0,,1.0,0.4444,0.5556,30.0,950.0,10650.0,,5
1793,210304.0,2011,Warner Pacific University,3.0,4.0,2.0,0.5486,21.0,1002.0,1359.0,95.0,17604.0,17604.0,3203.0,5425.0,0.7674,0.7573,0.7455,0.052,0.202725724,,0.182282794,0.8300653595,366.0,12607.0,,1.0,0.3642,0.6358,177.0,1100.0,6980.0,,5
1794,210401.0,2011,Willamette University,3.0,4.0,2.0,0.4336,29.0,1259.0,1800.0,380.0,37361.0,37361.0,13130.0,8618.0,0.7824,0.8946,0.4997,0.004,0.088495575,,0.061946903,0.9070512821,366.0,17122.0,,1.0,0.4411,0.5589,911.0,920.0,8900.0,,5
1796,210571.0,2011,Albright College,3.0,4.0,2.0,0.4787,,,2309.0,441.0,32740.0,32740.0,8528.0,6729.0,0.6139,0.7523,0.748,0.03,0.036741214,,0.170926518,0.8819444444,581.0,19186.0,,1.0,0.4192,0.5808,67.0,1000.0,8858.0,,5
1799,210739.0,2011,DeSales University,3.0,4.0,2.0,0.7373,22.0,1063.0,2366.0,302.0,28000.0,28000.0,8612.0,6926.0,0.6429,0.8333,0.6425,0.027,,,0.226890756,,493.0,16486.0,,1.0,0.4028,0.5972,833.0,1200.0,10140.0,,5
1800,210775.0,2011,Alvernia University,3.0,4.0,2.0,0.8141,19.0,952.0,2052.0,314.0,25480.0,25480.0,5626.0,6069.0,0.5323,0.7195,0.7683,0.046,0.15279879,,0.121028744,0.8205128205,539.0,17125.0,,1.0,0.308,0.692,796.0,1500.0,9266.0,,5
1804,211088.0,2011,Arcadia University,3.0,4.0,2.0,0.6474,25.0,1121.0,2168.0,452.0,32720.0,32720.0,7853.0,7851.0,0.6155,0.7543,0.8198,0.018,0.098314607,0.015449438,0.119382023,0.8684210526,668.0,14977.5,,1.0,0.2814,0.7186,1814.0,1100.0,11150.0,,5
1806,211273.0,2011,Bryn Mawr College,3.0,4.0,2.0,0.4848,28.0,1286.0,1287.0,217.0,39360.0,39360.0,25342.0,8841.0,0.868,0.9282,0.5088,0.009,0.174672489,,0.065502183,0.9153439153,270.0,16813.0,,1.0,0.0,1.0,462.0,1000.0,12420.0,,5
1807,211291.0,2011,Bucknell University,3.0,4.0,2.0,0.3139,29.0,1300.0,3489.0,385.0,42342.0,42342.0,15539.0,8937.0,0.9227,0.9446,0.4306,0.006,0.066225166,,0.026490066,0.9662027833,488.0,20125.0,,1.0,0.487,0.513,107.0,900.0,9938.0,,5
1810,211352.0,2011,Cabrini University,3.0,4.0,2.0,0.7056,19.0,927.0,1391.0,309.0,32084.0,32084.0,6570.0,6278.0,0.5333,0.6779,0.7146,0.044,0.059304704,,0.104294479,0.8942307692,483.0,14500.0,,1.0,0.3681,0.6319,2022.0,1050.0,11400.0,,5
1812,211431.0,2011,Carlow University,3.0,4.0,2.0,0.6202,21.0,974.0,1526.0,239.0,22600.0,22600.0,7557.0,6166.0,0.5281,0.648,0.725,0.034,0.128099174,,0.171487603,0.7817589577,493.0,14741.0,,1.0,0.0813,0.9187,832.0,1020.0,8900.0,,5
1813,211440.0,2011,Carnegie Mellon University,3.0,4.0,2.0,0.3332,31.0,1395.0,5742.0,656.0,42136.0,42136.0,31550.0,11814.0,0.8572,0.9632,0.4184,0.005,0.09351621,,0.059850374,0.9679054054,805.0,18000.0,,1.0,0.5815,0.4185,5510.0,1000.0,10750.0,,5
1814,211468.0,2011,Cedar Crest College,3.0,4.0,2.0,0.4182,21.0,1026.0,1444.0,186.0,28967.0,28967.0,7950.0,6514.0,0.5907,0.7128,0.778,0.063,0.127118644,,0.131355932,0.8308605341,536.0,21000.0,,1.0,0.045,0.955,194.0,1000.0,9540.0,,5
1816,211583.0,2011,Chestnut Hill College,3.0,4.0,2.0,0.8903,21.0,981.0,1537.0,208.0,28200.0,28200.0,6187.0,5691.0,0.4315,0.674,0.6703,0.043,0.178649238,,0.196078431,,414.0,14956.0,,1.0,0.2902,0.7098,840.0,1000.0,9065.0,,5
1821,211981.0,2011,Delaware Valley University,3.0,4.0,2.0,0.6718,22.0,1007.0,1885.0,373.0,29284.0,29284.0,6734.0,6581.0,0.5067,0.7111,0.6685,0.039,0.053231939,,0.178707224,0.9379562044,487.0,12500.0,,1.0,0.4191,0.5809,279.0,1000.0,10326.0,,5
1823,212054.0,2011,Drexel University,3.0,4.0,2.0,0.5506,26.0,1199.0,13652.0,1626.0,33000.0,33000.0,13365.0,9513.0,0.6776,0.8345,0.6201,0.019,0.137454785,0.007234462,0.121999342,0.912357104,3045.0,13617.0,,1.0,0.5413,0.4587,9657.0,1950.0,13125.0,,5
1824,212106.0,2011,Duquesne University,3.0,4.0,2.0,0.7673,24.0,1117.0,5705.0,1123.0,27502.0,27502.0,10190.0,8280.0,0.7724,0.8329,0.6956,0.013,0.087966221,,0.049261084,0.8966789668,1237.0,19227.5,,1.0,0.4368,0.5632,4416.0,1000.0,9476.0,,5
1826,212133.0,2011,Eastern University,3.0,4.0,2.0,0.7108,22.0,1051.0,2688.0,325.0,24600.0,24600.0,8047.0,6261.0,0.6689,0.7623,0.305,0.037,0.162162162,,0.216216216,0.8100172712,812.0,12500.0,,1.0,0.3021,0.6979,1660.0,1200.0,9090.0,,5
1828,212197.0,2011,Elizabethtown College,3.0,4.0,2.0,0.7453,,1100.0,2295.0,427.0,33250.0,33250.0,12454.0,7173.0,0.7832,0.8791,0.7343,0.01,0.096014493,,0.09057971,0.9310344828,511.0,19000.0,,1.0,0.3664,0.6336,34.0,1000.0,8500.0,,5
1830,212601.0,2011,Gannon University,3.0,4.0,2.0,0.8038,23.0,1040.0,2586.0,585.0,24582.0,24582.0,7062.0,6661.0,0.6973,0.7959,0.7163,0.019,0.06629055,,0.1325811,0.8663697105,626.0,17125.0,,1.0,0.4103,0.5897,1227.0,1230.0,9720.0,,5
1831,212656.0,2011,Geneva College,3.0,4.0,2.0,0.7968,25.0,1074.0,1785.0,277.0,22236.0,22236.0,6771.0,6082.0,0.6096,0.756,0.9051,0.033,0.147482014,,0.088129496,0.8329853862,483.0,15000.0,,1.0,0.4857,0.5143,275.0,900.0,8000.0,,5
1834,212832.0,2011,Gwynedd Mercy University,3.0,4.0,2.0,0.4612,,994.0,2186.0,278.0,25610.0,25610.0,5977.0,6483.0,0.7214,0.8,0.6817,0.027,0.24962406,,0.147368421,0.8679245283,510.0,15244.0,,1.0,0.2681,0.7319,374.0,1000.0,9540.0,,5
1838,212984.0,2011,Holy Family University,3.0,4.0,2.0,0.7196,21.0,956.0,2054.0,321.0,23520.0,23520.0,7102.0,6913.0,0.5664,0.746,0.7333,0.036,0.122324159,,0.145259939,0.8616352201,541.0,15440.0,,1.0,0.2629,0.7371,1094.0,1010.0,11228.0,,5
1840,213011.0,2011,Immaculata University,3.0,4.0,2.0,0.8018,19.0,923.0,2931.0,160.0,27870.0,27870.0,4913.0,6330.0,0.5972,0.8302,0.3803,0.05,0.086003373,,0.264755481,0.8102189781,530.0,16500.0,,1.0,0.2361,0.7639,1233.0,1695.0,11460.0,,5
1843,213303.0,2011,Keystone College,3.0,4.0,2.0,0.9378,19.0,899.0,1684.0,293.0,19020.0,19020.0,4942.0,5865.0,0.4442,0.6528,0.8336,0.083,0.117021277,,0.276595745,0.8269230769,546.0,12000.0,,1.0,0.402,0.598,53.0,1700.0,8950.0,,5
1844,213321.0,2011,King's College,3.0,4.0,2.0,0.7421,,,2080.0,440.0,26644.0,26644.0,7781.0,6899.0,0.6659,0.7944,0.7156,0.047,0.124624625,,0.09009009,0.8668122271,559.0,18000.0,,1.0,0.5053,0.4947,369.0,1250.0,10068.0,,5
1846,213358.0,2011,La Roche University,3.0,4.0,2.0,0.566,19.0,918.0,1231.0,139.0,22476.0,22476.0,5932.0,5676.0,0.4626,0.6919,0.8431,0.049,0.139817629,,0.179331307,,338.0,14250.0,,1.0,0.4037,0.5963,124.0,1200.0,8916.0,,5
1847,213367.0,2011,La Salle University,3.0,4.0,2.0,0.7135,21.0,1007.0,4246.0,817.0,33700.0,33700.0,8344.0,8456.0,0.6876,0.7856,0.6964,0.023,0.122985581,0.01187447,0.121289228,0.8735262594,1048.0,14625.0,,1.0,0.3643,0.6357,2149.0,500.0,10450.0,,5
1850,213507.0,2011,Lebanon Valley College,3.0,4.0,2.0,0.6962,,,1680.0,320.0,31620.0,31620.0,9239.0,6975.0,0.7356,0.8333,0.7104,0.022,0.065989848,,0.053299492,0.9183673469,358.0,18500.0,,1.0,0.4387,0.5613,289.0,1000.0,8365.0,,5
1853,213543.0,2011,Lehigh University,3.0,4.0,2.0,0.3789,29.0,1304.0,4766.0,603.0,39780.0,39780.0,18715.0,10936.0,0.8776,0.9346,0.455,0.015,0.056473829,,0.022038568,0.9446022727,736.0,17687.5,,1.0,0.5856,0.4144,2270.0,1000.0,10520.0,,5
1859,213826.0,2011,Marywood University,3.0,4.0,2.0,0.7056,,1050.0,2219.0,366.0,27150.0,27150.0,7245.0,6975.0,0.6325,0.8136,0.8049,0.036,0.088188976,,0.110236221,0.8338658147,543.0,18500.0,,1.0,0.3033,0.6967,1212.0,1000.0,11932.0,,5
1860,213987.0,2011,Mercyhurst University,3.0,4.0,2.0,0.7367,23.0,1054.0,3899.0,833.0,26346.0,26346.0,7641.0,5737.0,0.6608,0.7991,0.7824,0.071,0.044496487,,0.316159251,0.8434925865,1133.0,12125.0,,1.0,0.4081,0.5919,375.0,1000.0,10178.0,,5
1863,214069.0,2011,Misericordia University,3.0,4.0,2.0,0.6654,23.0,1057.0,2342.0,314.0,24990.0,24990.0,6654.0,6806.0,0.6656,0.8086,0.6567,0.033,0.14057508,,0.119808307,0.8609625668,487.0,18157.0,,1.0,0.2857,0.7143,403.0,900.0,10410.0,,5
1865,214157.0,2011,Moravian College,3.0,4.0,2.0,0.7904,21.0,1056.0,1598.0,326.0,32177.0,32177.0,10554.0,7064.0,0.7147,0.8047,0.7616,0.022,0.071078431,,0.120098039,0.931547619,391.0,19500.0,,1.0,0.4199,0.5801,260.0,1000.0,9164.0,,5
1866,214166.0,2011,Mount Aloysius College,3.0,4.0,2.0,0.7974,19.0,926.0,1535.0,332.0,18000.0,18000.0,5529.0,5729.0,0.52,0.6178,0.759,0.061,0.235185185,,0.240740741,0.8838383838,537.0,10500.0,,1.0,0.2847,0.7153,38.0,2000.0,7660.0,,5
1869,214272.0,2011,Neumann University,3.0,4.0,2.0,0.9262,,870.0,2518.0,279.0,22256.0,22256.0,4981.0,5997.0,0.5195,0.7308,1.0,0.057,0.034710744,,0.152066116,0.8200589971,597.0,14000.0,,1.0,0.3427,0.6573,548.0,1500.0,10162.0,,5
1883,215062.0,2011,University of Pennsylvania,3.0,4.0,2.0,0.1426,32.0,1435.0,10882.0,1033.0,40514.0,40514.0,38974.0,13527.0,0.9555,0.9833,0.2828,0.01,0.280870122,,0.053103007,0.9465301479,1849.0,12000.0,,1.0,0.4888,0.5112,13067.0,1120.0,11430.0,,5
1884,215099.0,2011,Jefferson (Philadelphia University + Thomas Jefferson University),3.0,4.0,2.0,0.7343,23.0,1061.0,2987.0,553.0,28990.0,28990.0,9200.0,7757.0,0.6111,0.7894,0.6969,0.031,0.085638999,,0.067193676,0.8908296943,670.0,17500.0,,1.0,0.3448,0.6552,620.0,1600.0,9502.0,,5
1885,215105.0,2011,The University of the Arts,3.0,4.0,2.0,0.6771,22.0,1021.0,2072.0,403.0,32200.0,32200.0,11803.0,6318.0,0.6567,0.8153,0.7805,0.05,0.07826087,,0.137391304,0.8339222615,557.0,19500.0,,1.0,0.4329,0.5671,256.0,4600.0,9465.0,,5
1886,215132.0,2011,University of the Sciences,3.0,4.0,2.0,0.6204,25.0,1179.0,1459.0,432.0,30794.0,30794.0,9469.0,8252.0,0.6357,0.848,0.8022,0.011,0.041152263,,0.043209877,0.936746988,453.0,22312.5,,1.0,0.3687,0.6313,1400.0,1050.0,12034.0,,5
1893,215442.0,2011,Point Park University,3.0,4.0,2.0,0.7418,23.0,1032.0,3389.0,445.0,22500.0,22500.0,8908.0,7004.0,0.4814,0.7735,0.6229,0.068,0.153846154,,0.227272727,0.7675753228,1112.0,16750.0,,1.0,0.3983,0.6017,581.0,1000.0,9480.0,,5
1895,215655.0,2011,Robert Morris University,3.0,4.0,2.0,0.8855,22.0,1012.0,3718.0,600.0,21550.0,21550.0,6832.0,8674.0,0.6121,0.7285,0.711,0.017,0.133547009,,0.147435897,0.8759124088,1007.0,15981.0,,1.0,0.5635,0.4365,1164.0,1200.0,10660.0,,5
1896,215743.0,2011,Saint Francis University,3.0,4.0,2.0,0.7146,22.0,1017.0,1698.0,367.0,26534.0,26534.0,7729.0,6164.0,0.6854,0.8527,0.7859,0.039,,,0.150224215,,406.0,19875.0,,1.0,0.4058,0.5942,617.0,1500.0,9066.0,,5
1897,215770.0,2011,Saint Joseph's University,3.0,4.0,2.0,0.8038,24.0,1118.0,5309.0,737.0,35230.0,35230.0,10456.0,8649.0,0.7848,0.8897,0.5014,0.02,0.062337662,,0.066666667,0.9089456869,747.0,16500.0,,1.0,0.4741,0.5259,3445.0,1500.0,11925.0,,5
1898,215798.0,2011,Saint Vincent College,3.0,4.0,2.0,0.7464,23.0,1066.0,1613.0,365.0,27365.0,27365.0,6339.0,6470.0,0.7704,0.8265,0.7777,0.023,0.062084257,,0.048780488,0.9029850746,401.0,21250.0,,1.0,0.5332,0.4668,244.0,1200.0,8860.0,,5
1899,215929.0,2011,University of Scranton,3.0,4.0,2.0,0.7438,25.0,1125.0,3999.0,751.0,34536.0,34536.0,8171.0,8142.0,0.7689,0.8901,0.6632,0.019,0.040509259,,0.055555556,0.9180555556,828.0,20125.0,,1.0,0.4409,0.5591,1970.0,1150.0,11862.0,,5
1900,215947.0,2011,Seton Hill University,3.0,4.0,2.0,0.6588,23.0,1027.0,1663.0,283.0,27548.0,27548.0,6301.0,6675.0,0.5574,0.7416,0.8561,0.041,0.057939914,,0.145922747,0.828358209,421.0,17000.0,,1.0,0.3656,0.6344,413.0,1000.0,8810.0,,5
1909,216597.0,2011,Villanova University,3.0,4.0,2.0,0.4516,30.0,1306.0,6862.0,871.0,39930.0,39930.0,13872.0,9176.0,0.896,0.9494,0.4591,0.008,0.065868264,,0.074850299,0.9611973392,1097.0,20500.0,,1.0,0.4926,0.5074,3489.0,950.0,10640.0,,5
1911,216694.0,2011,Waynesburg University,3.0,4.0,2.0,0.7013,23.0,1023.0,1671.0,362.0,18410.0,18410.0,6797.0,6037.0,0.5177,0.7786,0.8388,0.03,0.172101449,,0.143115942,0.8805970149,489.0,16730.0,,1.0,0.386,0.614,715.0,1300.0,7580.0,,5
